lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
BE,NL,88,65,2,0.7386363636363636,0.6382402375069727,103,192.6
IT,DE,51,39,1,0.7647058823529411,0.632375118636542,905,991.7
DE,NL,34,27,0,0.7941176470588235,0.6320128389178602,206,215.2
ES,NZ,19,16,0,0.8421052631578947,0.6243407235682331,217.5,300.5
US,ES,90,65,0,0.7222222222222222,0.6220457832888489,768,1023.8
IT,NO,48,36,1,0.75,0.6121535625207292,662.0,765.9
MY,GR,6,6,0,1.0,0.6096569663469354,698.0,717
SG,DE,10,9,0,0.9,0.5958436145024277,186,217.8
SG,IE,24,19,0,0.7916666666666666,0.5952915551476453,217,195.6
MY,BE,17,14,1,0.8235294117647058,0.5897007098262422,1048.5,1136.4
SG,NZ,17,14,0,0.8235294117647058,0.5897007098262422,276.5,284.3
AU,IE,59,42,0,0.711864406779661,0.5861891170174913,229.0,337.9
SG,GR,29,22,0,0.7586206896551724,0.5789204778167131,199.5,202.9
ES,IE,82,56,0,0.6829268292682927,0.5759601026622791,172.0,219.8
CA,BE,163,106,0,0.6503067484662577,0.5744018059484479,712.0,854.9
IE,FR,16,13,0,0.8125,0.5699064013154177,164,257.6
GB,NL,5,5,0,1.0,0.565508505247919,311,337.4
GB,NZ,5,5,0,1.0,0.565508505247919,664,917
GB,ES,9,8,0,0.8888888888888888,0.5649937852319398,935.5,980.5
ES,BE,63,43,0,0.6825396825396826,0.559962360918752,239,344.7
NZ,NL,33,24,0,0.7272727272727273,0.5578211674561319,60.5,102.6
MY,CA,27,20,0,0.7407407407407407,0.5532106959738432,1053.0,1232.0
ES,NO,35,25,0,0.7142857142857143,0.5494475193017891,243,410.6
IE,NZ,21,16,0,0.7619047619047619,0.5490841802765406,252.0,314.4
AU,BE,142,88,0,0.6197183098591549,0.5377128023395548,170.5,267.7
BE,NZ,39,27,0,0.6923076923076923,0.5357845138443541,287,391.8
IT,US,163,99,1,0.6073619631901841,0.5307477168701047,1108,1446.1
SG,FR,8,7,0,0.875,0.5291051942301385,174,208.6
NO,GR,33,23,1,0.696969696969697,0.5266154602526555,108,166.8
IT,CA,196,115,0,0.5867346938775511,0.5167740968128332,1244,1611.9
ES,GR,42,28,0,0.6666666666666666,0.5155222701166692,242.5,299.3
CH,ES,4,4,0,1.0,0.5100999795960008,46.0,46.2
CH,IE,4,4,0,1.0,0.5100999795960008,58.5,52
GB,IE,4,4,0,1.0,0.5100999795960008,498.0,479.8
GR,NZ,24,17,0,0.7083333333333334,0.5083193634129031,102,174.8
CA,DE,62,38,0,0.6129032258064516,0.4884761620578099,596.5,902.4
SG,IT,7,6,0,0.8571428571428571,0.4868654966809702,186.0,193.5
CA,FR,34,22,0,0.6470588235294118,0.4791365883001342,401.0,555.7
BE,GR,93,54,0,0.5806451612903226,0.47911260524081306,262.5,301.0
NO,BE,44,27,0,0.6136363636363636,0.46623309846201666,142,281.8
US,CA,408,208,1,0.5098039215686274,0.46143125077799324,1037.0,1449.2
SG,CA,19,13,0,0.6842105263157895,0.4601001017506463,181,207.5
ES,FR,14,10,0,0.7142857142857143,0.4535045882751561,264.0,293.5
CA,IE,49,29,0,0.5918367346938775,0.45247069972046267,276,367.2
AU,NO,51,30,0,0.5882352941176471,0.4516509274741746,182.0,221.3
MY,US,38,23,0,0.6052631578947368,0.44717586998695963,1278,1314.1
BE,FR,40,24,0,0.6,0.44595619827393507,254.0,293.6
CA,US,408,199,1,0.4877450980392157,0.4395833630941633,1622,1698.6
GB,GR,3,3,0,1.0,0.4384939195509822,64,71.3
MY,IE,3,3,0,1.0,0.4384939195509822,563,554.7
NL,PT,3,3,0,1.0,0.4384939195509822,1,7.3
CA,NO,47,27,0,0.574468085106383,0.43281668771211546,506,586.7
GB,AU,13,9,0,0.6923076923076923,0.4236888781333764,502,774.7
SG,ES,13,9,0,0.6923076923076923,0.4236888781333764,179,188.1
ES,DE,44,25,0,0.5681818181818182,0.42223890740554393,172,267.8
DE,GR,34,20,0,0.5882352941176471,0.42221304146519273,166.0,230.9
IE,BE,65,35,0,0.5384615384615384,0.4185318739862352,57,128.6
MY,IT,15,10,0,0.6666666666666666,0.4171312515121298,1284.5,1266.4
DE,BE,57,31,2,0.543859649122807,0.4159046083127224,148,276.6
