lead_country,lag_country,n_both,n_a_first,n_ties,hit_rate,hit_rate_wilson_lb,median_lead_days,mean_lead_days
NZ,AU,62,14,1,0.22580645161290322,0.13955057139297952,109.0,186.3
ES,IT,206,38,0,0.18446601941747573,0.13744610824189063,175.0,307.3
AU,GB,13,4,0,0.3076923076923077,0.1268049716161809,374.0,394.5
FR,CA,59,12,0,0.2033898305084746,0.12036154854418066,182.0,196.6
NL,CH,5,2,0,0.4,0.11761823115925325,31.0,31
FR,ES,14,4,0,0.2857142857142857,0.11721187910109102,53.0,64.5
AU,IT,124,21,0,0.1693548387096774,0.11351887518815744,215,586.8
BE,US,181,28,0,0.15469613259668508,0.1092492485860974,157.0,419.6
GB,US,15,4,0,0.26666666666666666,0.10897276103182815,1479.0,1376
FR,SG,10,3,0,0.3,0.10778928748621182,44,256.3
NZ,IE,21,5,0,0.23809523809523808,0.10627856389112264,118,184.4
NZ,CA,69,12,1,0.17391304347826086,0.10238268593034994,96.0,244.7
BE,IT,132,20,2,0.15151515151515152,0.1002740451855264,261.5,323.6
NL,GR,64,11,0,0.171875,0.09877641267316228,63,52.4
NL,DE,44,8,0,0.18181818181818182,0.09512692558258555,90.5,80.1
SG,CA,82,13,0,0.15853658536585366,0.09505500489170982,181,207.5
DE,IT,67,11,1,0.16417910447761194,0.0942251563376206,82,181.1
NO,IT,68,11,1,0.16176470588235295,0.09279997195749148,102,123.4
DE,SG,12,3,0,0.25,0.08894003962896137,289,919
GB,IT,7,2,0,0.2857142857142857,0.08221716570901552,379.0,379
SG,IT,35,6,0,0.17142857142857143,0.08102529944856719,186.0,193.5
SG,US,78,11,0,0.14102564102564102,0.08060961324830107,221,245.1
IE,US,89,12,0,0.1348314606741573,0.07884193534944135,239.5,269.3
BE,GB,8,2,0,0.25,0.07147768885802765,133.0,133
DE,US,70,9,0,0.12857142857142856,0.06914021991242263,334,787.8
GR,CA,137,15,0,0.10948905109489052,0.06748228691188912,90,126.1
FR,IE,16,3,0,0.1875,0.06591478773586763,406,486
NL,AU,100,11,0,0.11,0.06254131955225124,42,105.5
GB,NO,3,1,0,0.3333333333333333,0.061490315276160515,1420,1420
AU,MY,46,6,0,0.13043478260869565,0.06117757137492025,795.0,938
IE,IT,57,7,0,0.12280701754385964,0.060779830035075,107,197.4
